@relation Training

@attribute Label {Malware,Goodware}
@attribute Protocol numeric
@attribute 'Address A' numeric
@attribute 'Port A' numeric
@attribute 'Address B' numeric
@attribute 'Port B' numeric
@attribute 'Packets A - B' numeric
@attribute 'Bytes A - B' numeric
@attribute 'Packets B - A' numeric
@attribute 'Bytes B - A' numeric

@data
Malware,17,1534712186,6892,167772687,1044,0,0,1,67
Malware,17,1534712187,6892,167772687,1044,0,0,1,67
Malware,17,1534712188,6892,167772687,1044,0,0,1,67
Malware,17,1534712189,6892,167772687,1044,0,0,1,67
Malware,17,1534712190,6892,167772687,1044,0,0,1,67
Malware,17,1534712191,6892,167772687,1044,0,0,1,67
Malware,17,1534712192,6892,167772687,1044,0,0,1,67
Malware,17,1534712193,6892,167772687,1044,0,0,1,67
Malware,17,1534712194,6892,167772687,1044,0,0,1,67
Malware,17,1534712195,6892,167772687,1044,0,0,1,67
Malware,17,1534712196,6892,167772687,1044,0,0,1,67
Malware,17,1534712197,6892,167772687,1044,0,0,1,67
Malware,17,1534712198,6892,167772687,1044,0,0,1,67
Malware,17,1534712199,6892,167772687,1044,0,0,1,67
Malware,17,1534712200,6892,167772687,1044,0,0,1,67
Malware,17,1534712201,6892,167772687,1044,0,0,1,67
Malware,17,1534712202,6892,167772687,1044,0,0,1,67
Malware,17,1534712203,6892,167772687,1044,0,0,1,67
Malware,17,1534712204,6892,167772687,1044,0,0,1,67
Malware,17,1534712205,6892,167772687,1044,0,0,1,67
Malware,17,1534712206,6892,167772687,1044,0,0,1,67
Malware,17,1534712207,6892,167772687,1044,0,0,1,67
Malware,17,1534712208,6892,167772687,1044,0,0,1,67
Malware,17,1534712209,6892,167772687,1044,0,0,1,67
Malware,17,1534712210,6892,167772687,1044,0,0,1,67
Malware,17,1534712211,6892,167772687,1044,0,0,1,67
Malware,17,1534712212,6892,167772687,1044,0,0,1,67
Malware,17,1534712213,6892,167772687,1044,0,0,1,67
Malware,17,1534712214,6892,167772687,1044,0,0,1,67
Malware,17,1534712215,6892,167772687,1044,0,0,1,67
Malware,17,1534712216,6892,167772687,1044,0,0,1,67
Malware,17,1534712217,6892,167772687,1044,0,0,1,67
Malware,17,1534712218,6892,167772687,1044,0,0,1,67
Malware,17,1534712219,6892,167772687,1044,0,0,1,67
Malware,17,1534712220,6892,167772687,1044,0,0,1,67
Malware,17,1534712221,6892,167772687,1044,0,0,1,67
Malware,17,1534712222,6892,167772687,1044,0,0,1,67
Malware,17,1534712223,6892,167772687,1044,0,0,1,67
Malware,17,1534712224,6892,167772687,1044,0,0,1,67
Malware,17,1534712225,6892,167772687,1044,0,0,1,67
Malware,17,1534712226,6892,167772687,1044,0,0,1,67
Malware,17,1534712227,6892,167772687,1044,0,0,1,67
Malware,17,1534712228,6892,167772687,1044,0,0,1,67
Malware,17,1534712229,6892,167772687,1044,0,0,1,67
Malware,17,1534712230,6892,167772687,1044,0,0,1,67
Malware,17,1534712231,6892,167772687,1044,0,0,1,67
Malware,17,1534712232,6892,167772687,1044,0,0,1,67
Malware,17,1534712233,6892,167772687,1044,0,0,1,67
Malware,17,1534712234,6892,167772687,1044,0,0,1,67
Malware,17,1534712235,6892,167772687,1044,0,0,1,67
Malware,17,1534712236,6892,167772687,1044,0,0,1,67
Malware,17,1534712237,6892,167772687,1044,0,0,1,67
